country,n_years,slope_decade,ci_low,ci_high,mk_p
Guernsey,265,0.02919542483660142,0.020303030303030354,0.03855839416058406,7.459002304699425e-10
France (Europe),265,0.028841168091168108,0.019339080459770168,0.03868589743589723,1.0794239502232017e-08
Romania,265,0.0286849169588807,0.017240829346092498,0.041139896373057025,3.650023789436574e-06
Hungary,265,0.028438430059523765,0.016181592039801018,0.04034090909090908,9.732991367750188e-06
Portugal,261,0.027879523389232053,0.019602763385146743,0.03638333333333321,2.4108781637721677e-10
Croatia,265,0.027632703207136813,0.016348039215685877,0.03866020114942533,3.2563602154755955e-06
Bulgaria,265,0.027021210437175935,0.016479591836734836,0.03755813953488335,6.249132398217228e-07
Greece,265,0.026903031859275058,0.017942708333333335,0.03602083333333361,1.0619297441394338e-08
Andorra,265,0.02653283023735826,0.01723262032085554,0.036100508905852265,2.0364684605311822e-08
Albania,265,0.026517872775021763,0.017279411764705318,0.03605902777777781,3.5661391395436226e-08
Bosnia And Herzegovina,265,0.026515371410736614,0.015361757105943338,0.03744696969696968,3.1912453528626372e-06
Montenegro,265,0.026192484121383253,0.01649717514124293,0.03627853881278544,2.3335065435503566e-07
Serbia,265,0.026120493197278882,0.015163690476190452,0.03708874458874459,4.089220393188597e-06
Svalbard And Jan Mayen,252,0.026060114469842563,0.009385416666666702,0.04356249999999995,0.0021502658638641314
Spain,265,0.025876038188201056,0.017311111111111423,0.03499221183800625,7.46271711093982e-09
Macedonia,265,0.025400466454388065,0.016036585365853544,0.03548245614035077,1.661479291925616e-07
